Config_ID,Variant_Name,Intent_Accuracy,Intent_Macro_F1,Escalation_Accuracy,Escalation_Precision,Escalation_Recall,False_Auto_Handles,False_Escalations,Total_Cost ($),Avg_Cost_Per_Ticket ($),Avg_Latency_ms,Judge_Faithfulness (1-5)
C0,Trivial Baseline (Majority + Static),0.275,0.062,0.5,0.0,0.0,100,0,1000.0,5.0,0.0,3.6
C1,Simple ML (TF-IDF + BM25 + Keywords),0.76,0.388,0.68,0.974,0.37,63,1,631.5,3.16,2.1,1.0
C2,Track A (Few-Shot LLM + FAISS),0.88,0.854,0.905,0.858,0.97,3,16,54.0,0.27,7273.5,4.1
C6,Track B (SetFit Contrastive + Hybrid),0.34,0.111,0.5,0.5,1.0,0,100,150.0,0.75,463.2,4.1
C7,Track B (DeBERTa LoRA + Focal Loss + Calibrated),0.34,0.111,0.5,0.5,1.0,0,100,150.0,0.75,435.5,4.1
C9,Full SOTA (DeBERTa + Re-Ranker + Conformal Gate),0.34,0.111,0.5,0.5,1.0,0,100,150.0,0.75,489.2,4.6
